행정구역코드,시도,시군구,인구,인구비중(%),이론표본,표본계,남성 20대,남성 30대,남성 40대,남성 50대,남성 60대,남성 70세 이상,여성 20대,여성 30대,여성 40대,여성 50대,여성 60대,여성 70세 이상
11110,서울특별시,종로구,122765,0.282,28.2,28,2,2,2,3,2,2,3,2,2,3,2,3
11140,서울특별시,중구,107024,0.2459,24.59,25,2,2,2,2,2,2,2,3,2,2,2,2
11170,서울특별시,용산구,179453,0.4123,41.23,41,3,4,3,4,3,3,3,4,3,4,3,4
11200,서울특별시,성동구,241760,0.5554,55.54,56,4,5,5,5,4,3,5,6,5,5,5,4
11215,서울특별시,광진구,294802,0.6772,67.72,68,6,7,5,6,5,4,7,7,5,6,5,5
11230,서울특별시,동대문구,306119,0.7032,70.32,70,6,6,6,6,5,5,7,6,5,6,6,6
11260,서울특별시,중랑구,337197,0.7746,77.46,77,5,7,6,7,7,6,5,7,5,7,8,7
11290,서울특별시,성북구,367286,0.8438,84.38,84,7,6,7,8,6,6,8,6,7,8,7,8
11305,서울특별시,강북구,251545,0.5779,57.79,58,4,4,4,5,5,5,4,4,4,6,6,7
11320,서울특별시,도봉구,266857,0.613,61.3,61,4,4,5,6,6,5,4,4,4,6,6,7
11350,서울특별시,노원구,416546,0.9569,95.69,96,7,7,8,9,8,7,7,7,8,10,9,9
11380,서울특별시,은평구,401142,0.9215,92.15,92,6,7,7,8,7,7,7,8,8,9,9,9
11410,서울특별시,서대문구,263250,0.6048,60.48,60,5,5,5,5,4,4,6,5,5,5,5,6
11440,서울특별시,마포구,313641,0.7205,72.05,72,5,7,6,6,5,4,7,8,6,7,5,6
11470,서울특별시,양천구,356211,0.8183,81.83,82,5,6,8,8,7,6,5,6,8,8,8,7
11500,서울특별시,강서구,482912,1.1094,110.94,111,7,11,10,9,8,7,9,11,9,10,10,10
11530,서울특별시,구로구,337211,0.7747,77.47,77,5,7,6,7,6,6,6,7,6,7,7,7
11545,서울특별시,금천구,202925,0.4662,46.62,47,4,5,4,4,4,3,4,4,3,4,4,4
11560,서울특별시,영등포구,329310,0.7565,75.65,76,5,9,6,6,6,5,7,8,6,6,6,6
11590,서울특별시,동작구,329747,0.7575,75.75,76,7,7,6,6,5,5,7,7,6,7,6,7
11620,서울특별시,관악구,440139,1.0111,101.11,101,11,12,7,8,7,6,12,10,6,7,7,8
11650,서울특별시,서초구,342304,0.7864,78.64,79,5,6,8,8,5,5,6,7,9,8,6,6
11680,서울특별시,강남구,460278,1.0574,105.74,106,7,9,10,10,7,7,8,10,12,10,8,8
11710,서울특별시,송파구,547242,1.2572,125.72,126,8,12,11,11,9,8,10,13,12,11,11,10
11740,서울특별시,강동구,423349,0.9725,97.25,97,6,9,9,8,8,6,7,9,9,9,9,8
26110,부산광역시,중구,34408,0.079,7.9,8,0,1,0,1,1,1,1,0,0,1,1,1
26140,부산광역시,서구,90749,0.2085,20.85,21,1,1,2,2,2,2,1,1,2,2,2,3
26170,부산광역시,동구,75861,0.1743,17.43,17,1,1,1,2,2,2,1,1,1,1,2,2
26200,부산광역시,영도구,91692,0.2106,21.06,21,1,1,2,2,2,2,1,1,1,2,3,3
26230,부산광역시,부산진구,322511,0.7409,74.09,74,5,6,6,6,6,5,6,6,6,7,7,8
26260,부산광역시,동래구,229765,0.5278,52.78,53,3,4,5,5,4,4,3,4,5,5,5,6
26290,부산광역시,남구,216467,0.4973,49.73,50,4,3,4,5,4,4,3,3,4,5,5,6
26320,부산광역시,북구,229274,0.5267,52.67,53,3,4,4,5,6,4,3,4,4,5,6,5
26350,부산광역시,해운대구,317392,0.7291,72.91,73,4,5,6,7,7,5,4,5,7,8,8,7
26380,부산광역시,사하구,251020,0.5767,57.67,58,4,4,5,6,6,5,3,3,4,6,6,6
26410,부산광역시,금정구,183316,0.4211,42.11,42,3,3,3,3,4,4,3,2,3,4,5,5
26440,부산광역시,강서구,115873,0.2662,26.62,26,1,3,4,2,2,1,1,3,3,2,2,2
26470,부산광역시,연제구,182209,0.4186,41.86,42,2,3,4,4,3,3,3,3,4,4,4,5
26500,부산광역시,수영구,150374,0.3455,34.55,34,2,3,2,3,3,3,2,3,3,3,3,4
26530,부산광역시,사상구,173535,0.3987,39.87,40,3,3,3,4,4,3,2,2,3,4,5,4
26710,부산광역시,기장군,142440,0.3272,32.72,33,2,2,4,3,3,2,2,2,4,3,3,3
27110,대구광역시,중구,85318,0.196,19.6,20,1,2,2,2,1,1,2,2,2,2,1,2
27140,대구광역시,동구,294151,0.6757,67.57,68,4,6,5,6,6,5,4,5,5,7,7,8
27170,대구광역시,서구,147340,0.3385,33.85,34,2,3,2,3,4,3,2,2,2,3,4,4
27200,대구광역시,남구,122404,0.2812,28.12,28,2,2,2,2,2,2,2,2,2,3,3,4
27230,대구광역시,북구,350281,0.8047,80.47,80,6,6,6,9,7,5,5,5,7,9,8,7
27260,대구광역시,수성구,337408,0.7751,77.51,77,5,5,7,8,6,5,5,5,8,9,7,7
27290,대구광역시,달서구,440833,1.0127,101.27,101,7,8,8,10,9,6,7,7,9,11,10,9
27710,대구광역시,달성군,206887,0.4753,47.53,48,3,4,5,5,4,3,2,4,5,5,4,4
27720,대구광역시,군위군,21190,0.0487,4.87,5,0,0,0,1,1,1,0,0,0,0,1,1
28110,인천광역시,중구,147711,0.3393,33.93,34,3,4,4,3,2,2,3,3,3,3,2,2
28140,인천광역시,동구,49993,0.1148,11.48,11,1,1,1,1,1,1,0,1,1,1,1,1
28177,인천광역시,미추홀구,362096,0.8318,83.18,83,6,7,8,8,7,5,5,6,7,8,8,8
