시도,지역수,인구,인구비중(%),표본계,남성 20대,남성 30대,남성 40대,남성 50대,남성 60대,남성 70세 이상,여성 20대,여성 30대,여성 40대,여성 50대,여성 60대,여성 70세 이상
서울특별시,25,8121015,18.6562,1866,136,166,156,165,141,127,156,169,155,171,160,164
부산광역시,16,2806886,6.4482,645,39,47,55,60,59,50,39,43,54,62,67,70
대구광역시,9,2005812,4.6079,461,30,36,37,46,40,31,29,32,40,49,45,46
인천광역시,10,2586720,5.9424,594,42,53,57,58,53,34,37,48,53,59,55,45
광주광역시,5,1161835,2.6691,267,20,21,24,26,21,16,20,21,25,27,24,22
대전광역시,5,1218206,2.7986,280,21,24,25,28,23,17,21,21,24,28,24,24
울산광역시,5,914784,2.1015,210,16,17,19,22,22,13,11,14,18,22,20,16
세종특별자치시,1,299142,0.6872,69,4,7,9,7,4,3,4,7,9,6,5,4
경기도,31,11513669,26.4501,2645,191,231,254,271,228,150,170,212,244,268,226,200
충청북도,11,1360004,3.1243,312,22,23,28,33,31,23,16,18,24,32,30,32
충청남도,15,1807600,4.1526,415,26,31,39,43,41,33,20,27,35,39,38,43
전라남도,22,1527805,3.5098,351,18,20,27,38,39,34,15,16,27,34,35,48
경상북도,22,2162570,4.968,497,27,34,39,54,55,45,21,26,36,49,50,61
경상남도,18,2713835,6.2344,624,37,43,57,69,61,43,28,36,54,66,63,67
제주특별자치도,2,550314,1.2642,126,8,9,12,14,12,8,8,9,11,12,11,12
강원특별자치도,18,1302476,2.9921,299,19,20,23,29,34,27,14,14,20,29,34,36
전북특별자치도,14,1477139,3.3934,339,22,20,26,37,34,31,19,18,26,30,35,41
