행정구역코드,시도,시군구,성별,연령대,인구,인구비중(%),이론표본,배정표본
11110,서울특별시,종로구,남성,20대,9363,0.021509,2.1509,2
11110,서울특별시,종로구,남성,30대,9899,0.022741,2.2741,2
11110,서울특별시,종로구,남성,40대,8768,0.020143,2.0143,2
11110,서울특별시,종로구,남성,50대,11144,0.025601,2.5601,3
11110,서울특별시,종로구,남성,60대,10488,0.024094,2.4094,2
11110,서울특별시,종로구,남성,70세 이상,8905,0.020457,2.0457,2
11110,서울특별시,종로구,여성,20대,10843,0.024909,2.4909,3
11110,서울특별시,종로구,여성,30대,9970,0.022904,2.2904,2
11110,서울특별시,종로구,여성,40대,9477,0.021771,2.1771,2
11110,서울특별시,종로구,여성,50대,11611,0.026674,2.6674,3
11110,서울특별시,종로구,여성,60대,10513,0.024151,2.4151,2
11110,서울특별시,종로구,여성,70세 이상,11784,0.027071,2.7071,3
11140,서울특별시,중구,남성,20대,7001,0.016083,1.6083,2
11140,서울특별시,중구,남성,30대,10548,0.024232,2.4232,2
11140,서울특별시,중구,남성,40대,8086,0.018576,1.8576,2
11140,서울특별시,중구,남성,50대,8924,0.020501,2.0501,2
11140,서울특별시,중구,남성,60대,8833,0.020292,2.0292,2
11140,서울특별시,중구,남성,70세 이상,7735,0.017769,1.7769,2
11140,서울특별시,중구,여성,20대,8715,0.020021,2.0021,2
11140,서울특별시,중구,여성,30대,10674,0.024521,2.4521,3
11140,서울특별시,중구,여성,40대,8012,0.018406,1.8406,2
11140,서울특별시,중구,여성,50대,8874,0.020386,2.0386,2
11140,서울특별시,중구,여성,60대,9076,0.02085,2.085,2
11140,서울특별시,중구,여성,70세 이상,10546,0.024227,2.4227,2
11170,서울특별시,용산구,남성,20대,11815,0.027142,2.7142,3
11170,서울특별시,용산구,남성,30대,18145,0.041684,4.1684,4
11170,서울특별시,용산구,남성,40대,14342,0.032948,3.2948,3
11170,서울특별시,용산구,남성,50대,15443,0.035477,3.5477,4
11170,서울특별시,용산구,남성,60대,13823,0.031755,3.1755,3
11170,서울특별시,용산구,남성,70세 이상,11098,0.025495,2.5495,3
11170,서울특별시,용산구,여성,20대,14758,0.033903,3.3903,3
11170,서울특별시,용산구,여성,30대,19097,0.043871,4.3871,4
11170,서울특별시,용산구,여성,40대,14717,0.033809,3.3809,3
11170,서울특별시,용산구,여성,50대,16402,0.03768,3.768,4
11170,서울특별시,용산구,여성,60대,14458,0.033214,3.3214,3
11170,서울특별시,용산구,여성,70세 이상,15355,0.035275,3.5275,4
11200,서울특별시,성동구,남성,20대,17996,0.041342,4.1342,4
11200,서울특별시,성동구,남성,30대,23687,0.054416,5.4416,5
11200,서울특별시,성동구,남성,40대,19882,0.045674,4.5674,5
11200,서울특별시,성동구,남성,50대,20842,0.04788,4.788,5
11200,서울특별시,성동구,남성,60대,18877,0.043366,4.3366,4
11200,서울특별시,성동구,남성,70세 이상,14675,0.033713,3.3713,3
11200,서울특별시,성동구,여성,20대,19860,0.045624,4.5624,5
