행정구역코드,시도,시군구,인구,인구비중(%),이론표본,표본계,남성 14-19세,남성 20대,남성 30대,남성 40대,남성 50대,남성 60대,남성 70세 이상,여성 14-19세,여성 20대,여성 30대,여성 40대,여성 50대,여성 60대,여성 70세 이상
11110,서울특별시,종로구,128609,0.2776,27.76,28,1,2,2,2,2,2,2,1,2,2,2,3,2,3
11140,서울특별시,중구,110649,0.2389,23.89,24,0,2,2,2,2,2,2,0,2,2,2,2,2,2
11170,서울특별시,용산구,187284,0.4043,40.43,40,1,3,4,3,3,3,2,1,3,4,3,4,3,3
11200,서울특별시,성동구,252350,0.5448,54.48,54,1,4,5,4,5,4,3,1,4,6,4,5,4,4
11215,서울특별시,광진구,309059,0.6672,66.72,67,2,5,6,5,5,5,4,2,6,6,5,6,5,5
11230,서울특별시,동대문구,320125,0.6911,69.11,69,2,6,6,5,6,5,4,2,6,6,5,5,5,6
11260,서울특별시,중랑구,351422,0.7587,75.87,76,2,5,6,6,6,7,5,2,5,6,5,7,7,7
11290,서울특별시,성북구,388429,0.8386,83.86,84,2,6,6,6,8,6,5,2,7,6,7,8,7,8
11305,서울특별시,강북구,262881,0.5675,56.75,57,1,4,4,4,5,5,5,1,4,4,4,5,5,6
11320,서울특별시,도봉구,280133,0.6048,60.48,60,2,4,4,4,5,5,5,1,4,4,4,6,6,6
11350,서울특별시,노원구,444512,0.9596,95.96,96,3,7,7,7,9,7,6,3,7,6,8,9,8,9
11380,서울특별시,은평구,422261,0.9116,91.16,91,2,6,7,7,8,7,6,2,7,7,7,8,8,9
11410,서울특별시,서대문구,276554,0.597,59.7,60,2,4,5,4,5,4,4,2,5,5,5,5,5,5
11440,서울특별시,마포구,329491,0.7113,71.13,71,2,5,6,6,6,4,4,2,7,7,6,6,5,5
11470,서울특별시,양천구,384208,0.8294,82.94,83,3,5,6,7,8,6,5,3,5,6,8,8,7,6
11500,서울특별시,강서구,507333,1.0952,109.52,110,3,7,10,9,8,8,7,3,9,10,9,9,9,9
11530,서울특별시,구로구,353828,0.7639,76.39,76,2,5,7,6,6,6,5,2,5,7,6,6,6,7
11545,서울특별시,금천구,210449,0.4543,45.43,45,1,3,4,3,4,4,3,1,3,4,3,4,4,4
11560,서울특별시,영등포구,342798,0.74,74.0,74,2,5,8,6,6,5,4,1,7,8,5,6,5,6
11590,서울특별시,동작구,345185,0.7452,74.52,75,2,6,7,6,6,5,4,2,7,7,5,6,6,6
11620,서울특별시,관악구,455339,0.983,98.3,98,2,10,11,7,7,6,6,2,11,9,6,7,6,8
11650,서울특별시,서초구,369809,0.7984,79.84,80,3,5,6,7,7,5,5,3,6,7,8,7,5,6
11680,서울특별시,강남구,498574,1.0763,107.63,108,4,6,8,10,10,7,6,4,7,9,12,10,7,8
11710,서울특별시,송파구,581016,1.2543,125.43,125,4,7,11,11,10,9,7,4,9,12,11,11,10,9
11740,서울특별시,강동구,449134,0.9696,96.96,97,3,6,8,9,8,7,6,3,6,9,9,8,8,7
26110,부산광역시,중구,35353,0.0763,7.63,8,0,0,1,0,1,1,1,0,1,0,0,1,1,1
26140,부산광역시,서구,95017,0.2051,20.51,20,1,1,1,1,2,2,2,0,1,1,1,2,2,3
26170,부산광역시,동구,78621,0.1697,16.97,17,0,1,1,1,2,2,2,0,1,1,1,1,2,2
26200,부산광역시,영도구,95618,0.2064,20.64,21,1,1,1,1,2,2,2,1,1,1,1,2,2,3
26230,부산광역시,부산진구,337189,0.7279,72.79,73,2,5,6,5,6,6,5,2,5,6,5,6,7,7
26260,부산광역시,동래구,245163,0.5293,52.93,53,2,3,3,4,5,4,4,2,3,3,5,5,5,5
26290,부산광역시,남구,229687,0.4959,49.59,50,2,3,3,4,4,4,4,2,3,3,4,4,5,5
26320,부산광역시,북구,241452,0.5213,52.13,52,1,3,4,4,4,5,4,1,3,3,4,5,6,5
26350,부산광역시,해운대구,338206,0.7301,73.01,73,2,4,5,6,7,6,5,2,4,5,6,7,7,7
26380,부산광역시,사하구,264875,0.5718,57.18,57,2,3,4,4,5,5,5,2,3,3,4,5,6,6
26410,부산광역시,금정구,192787,0.4162,41.62,42,1,3,2,3,3,4,4,1,3,2,3,4,4,5
26440,부산광역시,강서구,125014,0.2699,26.99,27,1,1,3,3,2,2,1,1,1,3,3,2,2,2
26470,부산광역시,연제구,192294,0.4151,41.51,41,1,2,3,3,4,3,3,1,3,3,3,4,4,4
26500,부산광역시,수영구,157111,0.3392,33.92,34,1,2,3,2,3,3,3,1,2,2,2,3,3,4
26530,부산광역시,사상구,181533,0.3919,39.19,39,1,2,3,3,4,4,3,1,2,2,2,4,4,4
26710,부산광역시,기장군,153623,0.3316,33.16,33,1,2,2,3,3,3,2,1,2,2,3,3,3,3
27110,대구광역시,중구,89691,0.1936,19.36,19,0,1,2,2,1,1,1,1,2,2,2,1,1,2
27140,대구광역시,동구,309633,0.6684,66.84,67,2,4,5,5,6,6,5,2,4,4,5,6,6,7
27170,대구광역시,서구,153289,0.3309,33.09,33,1,2,2,2,3,3,3,1,1,2,2,3,4,4
27200,대구광역시,남구,127515,0.2753,27.53,27,1,2,2,2,2,2,2,0,2,2,2,2,3,3
27230,대구광역시,북구,373264,0.8058,80.58,81,3,6,6,6,8,7,5,2,5,5,6,8,7,7
27260,대구광역시,수성구,365601,0.7893,78.93,79,3,5,5,6,8,6,5,3,4,5,7,8,7,7
27290,대구광역시,달서구,470646,1.016,101.6,102,3,7,7,8,10,9,6,3,6,6,8,11,10,8
27710,대구광역시,달성군,222170,0.4796,47.96,48,2,3,4,5,4,4,3,2,2,3,5,4,4,3
27720,대구광역시,군위군,21718,0.0469,4.69,5,0,0,0,0,1,1,1,0,0,0,0,0,1,1
28110,인천광역시,중구,157047,0.339,33.9,34,1,2,4,3,3,2,2,1,3,3,3,3,2,2
28140,인천광역시,동구,52633,0.1136,11.36,11,0,0,1,1,1,1,1,0,1,1,1,1,1,1
28177,인천광역시,미추홀구,381815,0.8243,82.43,82,2,6,7,7,8,7,5,2,5,6,6,7,7,7
28185,인천광역시,연수구,357024,0.7708,77.08,77,3,5,6,8,7,6,3,3,5,6,8,7,6,4
28200,인천광역시,남동구,439078,0.9479,94.79,95,3,6,7,8,9,8,5,3,6,6,8,9,9,8
28237,인천광역시,부평구,449616,0.9706,97.06,97,3,6,8,8,9,8,5,3,6,8,7,9,9,8
28245,인천광역시,계양구,258001,0.557,55.7,56,1,4,4,4,5,6,3,2,3,4,4,6,6,4
28260,인천광역시,서구,572625,1.2362,123.62,124,4,8,11,13,12,9,5,4,7,11,12,12,9,7
28710,인천광역시,강화군,65568,0.1416,14.16,14,0,0,1,1,1,2,2,0,0,1,1,1,2,2
28720,인천광역시,옹진군,18800,0.0406,4.06,4,0,0,0,0,0,1,1,0,0,0,0,0,1,1
29110,광주광역시,동구,95144,0.2054,20.54,21,0,1,2,1,1,2,2,1,2,2,1,2,2,2
29140,광주광역시,서구,250288,0.5403,54.03,54,2,4,4,4,5,4,3,2,4,4,4,5,5,4
29155,광주광역시,남구,185419,0.4003,40.03,40,1,2,3,3,3,3,3,2,2,2,4,4,4,4
29170,광주광역시,북구,375722,0.8111,81.11,81,3,6,6,7,7,6,5,2,5,6,6,8,7,7
29200,광주광역시,광산구,342936,0.7403,74.03,74,3,6,5,7,8,5,3,3,5,5,7,8,5,4
30110,대전광역시,동구,200922,0.4338,43.38,43,1,3,3,3,4,4,3,1,3,3,3,4,4,4
30140,대전광역시,중구,206381,0.4455,44.55,45,1,3,3,3,4,4,3,2,3,3,3,4,4,5
30170,대전광역시,서구,417337,0.901,90.1,90,3,7,7,7,8,6,5,3,7,7,8,9,7,6
30200,대전광역시,유성구,323424,0.6982,69.82,70,3,6,7,6,6,5,3,2,5,6,6,6,5,4
30230,대전광역시,대덕구,152966,0.3302,33.02,33,1,2,2,3,4,3,2,1,2,2,2,3,3,3
