시도,지역수,인구,인구비중(%),표본계,남성 14-19세,남성 20대,남성 30대,남성 40대,남성 50대,남성 60대,남성 70세 이상,여성 14-19세,여성 20대,여성 30대,여성 40대,여성 50대,여성 60대,여성 70세 이상
서울특별시,25,8561432,18.4827,1848,52,128,156,146,155,134,115,50,144,159,149,161,145,154
부산광역시,16,2963543,6.3978,640,19,36,45,47,57,56,50,18,38,40,47,58,63,66
대구광역시,9,2133527,4.6059,461,15,30,33,36,43,39,31,14,26,29,37,43,43,42
인천광역시,10,2752207,5.9415,594,17,37,49,53,55,50,32,18,36,46,50,55,52,44
광주광역시,5,1249509,2.6975,270,9,19,20,22,24,20,16,10,18,19,22,27,23,21
대전광역시,5,1301030,2.8087,281,9,21,22,22,26,22,16,9,20,21,22,26,23,22
울산광역시,5,979978,2.1156,211,8,14,16,19,22,19,12,7,10,14,17,20,19,14
세종특별자치시,1,330260,0.713,71,3,4,6,8,7,4,3,3,4,6,9,6,4,4
경기도,31,12309198,26.5735,2657,91,178,222,239,255,211,138,86,164,198,231,248,213,183
충청북도,11,1446819,3.1234,312,10,19,22,26,31,30,21,9,15,17,24,29,29,30
충청남도,15,1929639,4.1658,417,12,27,31,35,40,37,30,11,20,26,33,37,35,43
전라남도,22,1622313,3.5023,350,9,17,16,28,37,37,32,7,13,13,26,34,35,46
경상북도,22,2292625,4.9494,495,14,26,32,39,48,51,41,12,21,23,33,47,50,58
경상남도,18,2902926,6.2669,627,20,35,40,56,64,58,43,19,26,35,49,62,58,62
제주특별자치도,2,591900,1.2778,128,5,8,9,11,13,10,8,5,6,9,11,12,10,11
강원특별자치도,18,1379330,2.9777,298,6,17,17,22,30,32,26,6,12,14,20,28,33,35
전북특별자치도,14,1575153,3.4005,340,11,21,18,24,33,33,29,9,17,18,24,31,32,40
