행정구역코드,시도,시군구,성별,연령대,인구,인구비중(%),이론표본,배정표본
11110,서울특별시,종로구,남성,14-19세,2869,0.006194,0.6194,1
11110,서울특별시,종로구,남성,20대,9363,0.020213,2.0213,2
11110,서울특별시,종로구,남성,30대,9899,0.02137,2.137,2
11110,서울특별시,종로구,남성,40대,8768,0.018929,1.8929,2
11110,서울특별시,종로구,남성,50대,11144,0.024058,2.4058,2
11110,서울특별시,종로구,남성,60대,10488,0.022642,2.2642,2
11110,서울특별시,종로구,남성,70세 이상,8905,0.019224,1.9224,2
11110,서울특별시,종로구,여성,14-19세,2975,0.006423,0.6423,1
11110,서울특별시,종로구,여성,20대,10843,0.023408,2.3408,2
11110,서울특별시,종로구,여성,30대,9970,0.021524,2.1524,2
11110,서울특별시,종로구,여성,40대,9477,0.020459,2.0459,2
11110,서울특별시,종로구,여성,50대,11611,0.025066,2.5066,3
11110,서울특별시,종로구,여성,60대,10513,0.022696,2.2696,2
11110,서울특별시,종로구,여성,70세 이상,11784,0.02544,2.544,3
11140,서울특별시,중구,남성,14-19세,1782,0.003847,0.3847,0
11140,서울특별시,중구,남성,20대,7001,0.015114,1.5114,2
11140,서울특별시,중구,남성,30대,10548,0.022771,2.2771,2
11140,서울특별시,중구,남성,40대,8086,0.017456,1.7456,2
11140,서울특별시,중구,남성,50대,8924,0.019265,1.9265,2
11140,서울특별시,중구,남성,60대,8833,0.019069,1.9069,2
11140,서울특별시,중구,남성,70세 이상,7735,0.016699,1.6699,2
11140,서울특별시,중구,여성,14-19세,1843,0.003979,0.3979,0
11140,서울특별시,중구,여성,20대,8715,0.018814,1.8814,2
11140,서울특별시,중구,여성,30대,10674,0.023043,2.3043,2
11140,서울특별시,중구,여성,40대,8012,0.017297,1.7297,2
11140,서울특별시,중구,여성,50대,8874,0.019157,1.9157,2
11140,서울특별시,중구,여성,60대,9076,0.019594,1.9594,2
11140,서울특별시,중구,여성,70세 이상,10546,0.022767,2.2767,2
11170,서울특별시,용산구,남성,14-19세,3956,0.00854,0.854,1
11170,서울특별시,용산구,남성,20대,11815,0.025507,2.5507,3
11170,서울특별시,용산구,남성,30대,18145,0.039172,3.9172,4
11170,서울특별시,용산구,남성,40대,14342,0.030962,3.0962,3
11170,서울특별시,용산구,남성,50대,15443,0.033339,3.3339,3
11170,서울특별시,용산구,남성,60대,13823,0.029842,2.9842,3
11170,서울특별시,용산구,남성,70세 이상,11098,0.023959,2.3959,2
11170,서울특별시,용산구,여성,14-19세,3875,0.008365,0.8365,1
11170,서울특별시,용산구,여성,20대,14758,0.03186,3.186,3
11170,서울특별시,용산구,여성,30대,19097,0.041227,4.1227,4
11170,서울특별시,용산구,여성,40대,14717,0.031771,3.1771,3
11170,서울특별시,용산구,여성,50대,16402,0.035409,3.5409,4
11170,서울특별시,용산구,여성,60대,14458,0.031212,3.1212,3
11170,서울특별시,용산구,여성,70세 이상,15355,0.033149,3.3149,3
11200,서울특별시,성동구,남성,14-19세,5225,0.01128,1.128,1
11200,서울특별시,성동구,남성,20대,17996,0.03885,3.885,4
11200,서울특별시,성동구,남성,30대,23687,0.051136,5.1136,5
11200,서울특별시,성동구,남성,40대,19882,0.042922,4.2922,4
11200,서울특별시,성동구,남성,50대,20842,0.044994,4.4994,5
11200,서울특별시,성동구,남성,60대,18877,0.040752,4.0752,4
11200,서울특별시,성동구,남성,70세 이상,14675,0.031681,3.1681,3
11200,서울특별시,성동구,여성,14-19세,5365,0.011582,1.1582,1
11200,서울특별시,성동구,여성,20대,19860,0.042874,4.2874,4
11200,서울특별시,성동구,여성,30대,24606,0.05312,5.312,6
11200,서울특별시,성동구,여성,40대,19691,0.04251,4.251,4
11200,서울특별시,성동구,여성,50대,21853,0.047177,4.7177,5
11200,서울특별시,성동구,여성,60대,19698,0.042525,4.2525,4
11200,서울특별시,성동구,여성,70세 이상,20093,0.043377,4.3377,4
11215,서울특별시,광진구,남성,14-19세,7168,0.015474,1.5474,2
11215,서울특별시,광진구,남성,20대,25037,0.054051,5.4051,5
11215,서울특별시,광진구,남성,30대,28252,0.060991,6.0991,6
11215,서울특별시,광진구,남성,40대,22503,0.04858,4.858,5
11215,서울특별시,광진구,남성,50대,24792,0.053522,5.3522,5
11215,서울특별시,광진구,남성,60대,22000,0.047494,4.7494,5
11215,서울특별시,광진구,남성,70세 이상,17479,0.037734,3.7734,4
11215,서울특별시,광진구,여성,14-19세,7089,0.015304,1.5304,2
11215,서울특별시,광진구,여성,20대,29800,0.064333,6.4333,6
11215,서울특별시,광진구,여성,30대,28573,0.061684,6.1684,6
11215,서울특별시,광진구,여성,40대,23544,0.050827,5.0827,5
11215,서울특별시,광진구,여성,50대,26283,0.056741,5.6741,6
