행정구역코드,시도,시군구,인구,인구비중(%),이론표본,표본계,남성 0-9세,남성 10대,남성 20대,남성 30대,남성 40대,남성 50대,남성 60대,남성 70대,남성 80세 이상,여성 0-9세,여성 10대,여성 20대,여성 30대,여성 40대,여성 50대,여성 60대,여성 70대,여성 80세 이상
11110,서울특별시,종로구,137048,0.2681,26.81,27,1,1,2,2,2,2,2,1,1,0,1,2,2,2,2,2,1,1
11140,서울특별시,중구,117805,0.2305,23.05,23,1,1,1,2,1,1,2,1,0,1,1,2,2,1,2,2,1,1
11170,서울특별시,용산구,201894,0.395,39.5,39,1,1,2,3,3,3,3,1,1,1,1,3,4,3,3,3,2,1
11200,서울특별시,성동구,274606,0.5372,53.72,54,2,2,3,5,4,4,4,2,1,1,2,4,5,4,4,4,2,1
11215,서울특별시,광진구,331167,0.6479,64.79,65,1,2,5,6,4,5,4,2,1,1,2,6,6,5,5,5,3,2
11230,서울특별시,동대문구,346241,0.6773,67.73,68,2,2,5,5,5,5,5,3,1,2,2,6,5,5,5,5,3,2
11260,서울특별시,중랑구,376916,0.7374,73.74,74,2,2,4,6,5,6,6,3,1,2,2,5,6,5,6,7,4,2
11290,서울특별시,성북구,422559,0.8266,82.66,83,2,3,6,6,6,7,5,3,2,2,3,7,6,6,7,6,4,2
11305,서울특별시,강북구,278928,0.5457,54.57,54,1,2,3,3,4,5,4,3,1,1,2,4,3,3,5,5,3,2
11320,서울특별시,도봉구,299899,0.5867,58.67,59,1,2,3,4,4,5,5,3,1,1,2,4,4,4,5,6,3,2
11350,서울특별시,노원구,483541,0.9459,94.59,94,2,4,6,6,6,8,7,4,2,2,4,6,6,7,8,8,5,3
11380,서울특별시,은평구,455137,0.8904,89.04,89,2,3,5,6,6,7,6,4,2,2,3,6,7,7,8,7,5,3
11410,서울특별시,서대문구,300147,0.5872,58.72,59,2,2,4,4,4,4,4,2,1,2,2,5,5,4,5,4,3,2
11440,서울특별시,마포구,357616,0.6996,69.96,70,2,2,5,6,5,5,4,2,1,2,3,6,7,6,5,4,3,2
11470,서울특별시,양천구,425088,0.8316,83.16,83,2,5,5,5,7,7,6,3,1,2,4,5,5,7,7,6,4,2
11500,서울특별시,강서구,549711,1.0754,107.54,107,3,4,6,9,8,8,7,4,2,3,4,8,9,8,8,8,5,3
11530,서울특별시,구로구,383829,0.7509,75.09,75,2,3,4,6,6,6,5,3,1,2,3,5,6,5,6,6,4,2
11545,서울특별시,금천구,223290,0.4368,43.68,44,1,1,3,4,3,3,4,2,1,1,1,3,4,3,3,4,2,1
