성별,연령대,인구,인구비중(%),표본
남성,0-9세,1516670,2.967,297
남성,10대,2375843,4.6478,465
남성,20대,2950528,5.7721,577
남성,30대,3492809,6.8329,683
남성,40대,3859751,7.5508,755
남성,50대,4354771,8.5192,852
남성,60대,3907041,7.6433,764
남성,70대,2089386,4.0874,409
남성,80세 이상,889866,1.7408,174
여성,0-9세,1442553,2.822,282
여성,10대,2252500,4.4065,441
여성,20대,2731714,5.344,534
여성,30대,3183648,6.2281,623
여성,40대,3722461,7.2822,728
여성,50대,4279301,8.3715,837
여성,60대,4015237,7.8549,786
여성,70대,2434888,4.7633,476
여성,80세 이상,1618411,3.1661,317
