시도,지역수,인구,인구비중(%),표본계,남성 0-9세,남성 10대,남성 20대,남성 30대,남성 40대,남성 50대,남성 60대,남성 70대,남성 80세 이상,여성 0-9세,여성 10대,여성 20대,여성 30대,여성 40대,여성 50대,여성 60대,여성 70대,여성 80세 이상
서울특별시,25,9299548,18.1925,1819,49,71,115,141,132,138,123,72,32,46,68,136,146,137,143,136,85,49
부산광역시,16,3241600,6.3415,634,17,28,35,40,43,49,50,31,14,16,28,33,37,43,54,56,39,21
대구광역시,9,2353032,4.6032,460,15,23,23,29,33,38,35,20,8,14,22,24,25,33,42,38,25,13
인천광역시,10,3051961,5.9705,597,20,28,36,46,48,50,46,20,7,17,27,31,42,47,49,46,23,14
광주광역시,5,1392013,2.7232,272,11,15,17,16,20,23,19,10,5,8,15,16,18,20,23,19,11,6
대전광역시,5,1440729,2.8185,282,9,14,19,21,20,23,19,10,5,9,13,19,18,21,24,19,11,8
울산광역시,5,1091948,2.1362,214,7,11,12,15,17,18,17,8,3,7,11,10,13,16,20,18,8,3
세종특별자치시,1,391965,0.7668,77,4,5,4,6,7,6,4,2,1,4,5,3,6,8,5,4,2,1
경기도,31,13730135,26.86,2686,92,132,159,199,218,231,189,88,40,89,129,144,179,207,231,191,102,66
충청북도,11,1596502,3.1232,312,9,13,17,21,22,28,28,16,4,10,13,14,16,19,25,27,17,13
충청남도,15,2136753,4.1801,418,10,23,24,27,34,36,33,19,13,11,19,17,23,29,32,32,19,17
전라남도,22,1779135,3.4805,348,8,12,16,15,26,35,32,22,7,8,12,11,11,22,29,32,26,24
경상북도,22,2506526,4.9035,490,11,21,25,27,35,44,47,27,13,11,18,18,21,31,40,46,31,24
경상남도,18,3207383,6.2745,628,19,32,30,35,49,60,53,30,9,14,31,24,30,45,56,53,33,25
제주특별자치도,2,664792,1.3005,130,4,7,7,8,9,12,10,4,3,4,7,6,8,10,11,10,6,4
강원특별자치도,18,1508500,2.9511,295,5,12,20,19,20,28,29,15,3,7,10,12,14,18,26,29,18,10
전북특별자치도,14,1724856,3.3743,338,7,18,18,18,22,33,30,15,7,7,13,16,16,22,27,30,20,19
