행정구역코드,시도,시군구,성별,연령대,인구,인구비중(%),이론표본,배정표본
11110,서울특별시,종로구,남성,0-9세,2609,0.005104,0.5104,1
11110,서울특별시,종로구,남성,10대,4492,0.008788,0.8788,1
11110,서울특별시,종로구,남성,20대,9363,0.018317,1.8317,2
11110,서울특별시,종로구,남성,30대,9899,0.019365,1.9365,2
11110,서울특별시,종로구,남성,40대,8768,0.017153,1.7153,2
11110,서울특별시,종로구,남성,50대,11144,0.021801,2.1801,2
11110,서울특별시,종로구,남성,60대,10488,0.020517,2.0517,2
11110,서울특별시,종로구,남성,70대,5792,0.011331,1.1331,1
11110,서울특별시,종로구,남성,80세 이상,3113,0.00609,0.609,1
11110,서울특별시,종로구,여성,0-9세,2481,0.004854,0.4854,0
11110,서울특별시,종로구,여성,10대,4701,0.009196,0.9196,1
11110,서울특별시,종로구,여성,20대,10843,0.021212,2.1212,2
11110,서울특별시,종로구,여성,30대,9970,0.019504,1.9504,2
11110,서울특별시,종로구,여성,40대,9477,0.01854,1.854,2
11110,서울특별시,종로구,여성,50대,11611,0.022714,2.2714,2
11110,서울특별시,종로구,여성,60대,10513,0.020566,2.0566,2
11110,서울특별시,종로구,여성,70대,6771,0.013246,1.3246,1
11110,서울특별시,종로구,여성,80세 이상,5013,0.009807,0.9807,1
11140,서울특별시,중구,남성,0-9세,2538,0.004965,0.4965,1
11140,서울특별시,중구,남성,10대,2895,0.005663,0.5663,1
11140,서울특별시,중구,남성,20대,7001,0.013696,1.3696,1
11140,서울특별시,중구,남성,30대,10548,0.020635,2.0635,2
11140,서울특별시,중구,남성,40대,8086,0.015818,1.5818,1
11140,서울특별시,중구,남성,50대,8924,0.017458,1.7458,1
11140,서울특별시,중구,남성,60대,8833,0.01728,1.728,2
11140,서울특별시,중구,남성,70대,5256,0.010282,1.0282,1
11140,서울특별시,중구,남성,80세 이상,2479,0.00485,0.485,0
11140,서울특별시,중구,여성,0-9세,2439,0.004771,0.4771,1
11140,서울특별시,중구,여성,10대,2909,0.005691,0.5691,1
11140,서울특별시,중구,여성,20대,8715,0.017049,1.7049,2
11140,서울특별시,중구,여성,30대,10674,0.020881,2.0881,2
11140,서울특별시,중구,여성,40대,8012,0.015674,1.5674,1
11140,서울특별시,중구,여성,50대,8874,0.01736,1.736,2
11140,서울특별시,중구,여성,60대,9076,0.017755,1.7755,2
11140,서울특별시,중구,여성,70대,6185,0.0121,1.21,1
11140,서울특별시,중구,여성,80세 이상,4361,0.008531,0.8531,1
11170,서울특별시,용산구,남성,0-9세,4961,0.009705,0.9705,1
